id,usuario_id,serie_id,texto,puntuacion,fecha,etiquetas,util
res_0001,usr_0586,ser_0918,Reseña número 1. Misterio y suspenso se entrelazan en esta serie cautivadora.,5,2023-01-14,apta para todos|imprescindible,440
res_0002,usr_0674,ser_1923,"Reseña número 2. En un mundo donde las reglas se rompen, surgen héroes inesperados.",3,2023-01-21,sobrevalorada|imprescindible|recomendada,396
res_0003,usr_0782,ser_1665,Reseña número 3. Comedia que retrata la vida cotidiana con humor inteligente.,4,2023-02-19,sobrevalorada|clásico moderno,188
res_0004,usr_0628,ser_1935,Reseña número 4. Comedia que retrata la vida cotidiana con humor inteligente.,10,2025-01-14,apta para todos,415
res_0005,usr_0161,ser_2064,"Reseña número 5. Drama intenso sobre familia, lealtad y traición.",2,2024-04-06,solo adultos,286
res_0006,usr_0501,ser_2578,Reseña número 6. Comedia que retrata la vida cotidiana con humor inteligente.,8,2024-10-29,decepcionante|apta para todos|clásico moderno,402
res_0007,usr_0488,ser_0780,Reseña número 7. Romance que desafía las convenciones sociales de la época.,7,2023-05-22,solo adultos,233
res_0008,usr_0225,ser_2380,Reseña número 8. Investigación criminal que pone a prueba los límites de la justicia.,4,2024-06-14,apta para todos|recomendada,291
res_0009,usr_0512,ser_2693,Reseña número 9. Una saga familiar que recorre generaciones y secretos.,8,2024-10-27,clásico moderno|recomendada,404
res_0010,usr_0773,ser_0227,Reseña número 10. Misterio y suspenso se entrelazan en esta serie cautivadora.,5,2024-01-16,recomendada|sobrevalorada|clásico moderno,71
res_0011,usr_0616,ser_1638,"Reseña número 11. Drama intenso sobre familia, lealtad y traición.",10,2022-02-25,imprescindible|recomendada|sobrevalorada,313
res_0012,usr_0237,ser_2911,"Reseña número 12. Drama intenso sobre familia, lealtad y traición.",3,2024-04-08,decepcionante|sobrevalorada,264
res_0013,usr_0163,ser_1416,Reseña número 13. Misterio y suspenso se entrelazan en esta serie cautivadora.,7,2023-05-02,clásico moderno,318
res_0014,usr_0312,ser_2748,"Reseña número 14. En un mundo donde las reglas se rompen, surgen héroes inesperados.",6,2024-05-21,imprescindible|recomendada,234
res_0015,usr_0453,ser_1309,Reseña número 15. Una mirada profunda a la condición humana en tiempos difíciles.,10,2025-02-02,solo adultos|imprescindible|decepcionante,410
res_0016,usr_0653,ser_1294,Reseña número 16. Investigación criminal que pone a prueba los límites de la justicia.,2,2025-04-23,solo adultos|clásico moderno|recomendada,259
res_0017,usr_0688,ser_2052,Reseña número 17. Misterio y suspenso se entrelazan en esta serie cautivadora.,1,2024-10-10,clásico moderno|apta para todos,102
res_0018,usr_0708,ser_2256,Reseña número 18. Una historia épica que cambia el destino de los protagonistas para siempre.,6,2023-02-05,apta para todos|decepcionante|joya oculta,320
res_0019,usr_0489,ser_0582,Reseña número 19. Acción sin tregua en una aventura llena de giros inesperados.,9,2023-03-21,clásico moderno|recomendada|sobrevalorada,379
res_0020,usr_0715,ser_0099,Reseña número 20. Comedia que retrata la vida cotidiana con humor inteligente.,2,2023-01-24,apta para todos,310
res_0021,usr_0426,ser_1837,"Reseña número 21. Drama intenso sobre familia, lealtad y traición.",2,2022-09-21,imprescindible|decepcionante|sobrevalorada,280
res_0022,usr_0249,ser_2265,Reseña número 22. Romance que desafía las convenciones sociales de la época.,1,2023-01-11,clásico moderno|imprescindible,230
res_0023,usr_0583,ser_2281,"Reseña número 23. Drama intenso sobre familia, lealtad y traición.",2,2023-08-15,decepcionante|solo adultos|recomendada,114
res_0024,usr_0485,ser_0424,Reseña número 24. Romance que desafía las convenciones sociales de la época.,4,2022-01-06,sobrevalorada|joya oculta,18
res_0025,usr_0542,ser_1524,Reseña número 25. Investigación criminal que pone a prueba los límites de la justicia.,4,2022-03-10,joya oculta|clásico moderno,471
res_0026,usr_0514,ser_0837,Reseña número 26. Acción sin tregua en una aventura llena de giros inesperados.,9,2022-09-11,solo adultos|imprescindible,101
res_0027,usr_0549,ser_1617,Reseña número 27. Acción sin tregua en una aventura llena de giros inesperados.,6,2024-04-27,apta para todos,243
res_0028,usr_0493,ser_1522,Reseña número 28. Comedia que retrata la vida cotidiana con humor inteligente.,10,2023-12-30,sobrevalorada|clásico moderno,467
res_0029,usr_0772,ser_1340,Reseña número 29. Misterio y suspenso se entrelazan en esta serie cautivadora.,2,2022-01-07,solo adultos|sobrevalorada,460
res_0030,usr_0675,ser_0536,Reseña número 30. Comedia que retrata la vida cotidiana con humor inteligente.,1,2023-08-25,decepcionante,168
res_0031,usr_0705,ser_2184,Reseña número 31. Una saga familiar que recorre generaciones y secretos.,9,2025-01-27,recomendada,321
res_0032,usr_0554,ser_1312,Reseña número 32. Comedia que retrata la vida cotidiana con humor inteligente.,9,2024-07-05,sobrevalorada,175
res_0033,usr_0497,ser_2064,Reseña número 33. Misterio y suspenso se entrelazan en esta serie cautivadora.,6,2024-08-25,decepcionante|recomendada|joya oculta,10
res_0034,usr_0157,ser_1181,"Reseña número 34. En un mundo donde las reglas se rompen, surgen héroes inesperados.",1,2023-08-10,clásico moderno,30
res_0035,usr_0479,ser_1241,Reseña número 35. Una saga familiar que recorre generaciones y secretos.,4,2022-08-28,apta para todos|recomendada,267
res_0036,usr_0688,ser_0487,Reseña número 36. Acción sin tregua en una aventura llena de giros inesperados.,2,2022-06-26,clásico moderno|solo adultos,195
res_0037,usr_0448,ser_0366,Reseña número 37. Una mirada profunda a la condición humana en tiempos difíciles.,5,2022-02-04,joya oculta|sobrevalorada|clásico moderno,335
res_0038,usr_0365,ser_0185,Reseña número 38. Una historia épica que cambia el destino de los protagonistas para siempre.,1,2023-10-01,joya oculta|recomendada,485
res_0039,usr_0657,ser_2269,Reseña número 39. Una saga familiar que recorre generaciones y secretos.,3,2022-09-24,solo adultos|recomendada|sobrevalorada,447
res_0040,usr_0585,ser_2552,Reseña número 40. Una historia épica que cambia el destino de los protagonistas para siempre.,7,2023-09-28,joya oculta|solo adultos|imprescindible,170
res_0041,usr_0448,ser_2659,Reseña número 41. Comedia que retrata la vida cotidiana con humor inteligente.,9,2022-03-25,sobrevalorada|apta para todos|clásico moderno,201
res_0042,usr_0217,ser_2304,Reseña número 42. Una mirada profunda a la condición humana en tiempos difíciles.,7,2023-08-23,decepcionante|apta para todos,84
res_0043,usr_0312,ser_1487,Reseña número 43. Comedia que retrata la vida cotidiana con humor inteligente.,9,2022-07-19,recomendada|joya oculta,373
res_0044,usr_0227,ser_0966,Reseña número 44. Comedia que retrata la vida cotidiana con humor inteligente.,2,2023-08-31,decepcionante|solo adultos|apta para todos,331
res_0045,usr_0652,ser_2510,Reseña número 45. Acción sin tregua en una aventura llena de giros inesperados.,7,2023-05-23,recomendada|apta para todos|solo adultos,373
res_0046,usr_0036,ser_1065,Reseña número 46. Comedia que retrata la vida cotidiana con humor inteligente.,4,2025-04-26,recomendada|decepcionante|clásico moderno,498
res_0047,usr_0742,ser_2254,Reseña número 47. Investigación criminal que pone a prueba los límites de la justicia.,7,2024-10-12,decepcionante|apta para todos|solo adultos,53
res_0048,usr_0309,ser_0042,Reseña número 48. Una saga familiar que recorre generaciones y secretos.,7,2022-08-13,solo adultos|recomendada|joya oculta,296
res_0049,usr_0515,ser_1835,Reseña número 49. Una mirada profunda a la condición humana en tiempos difíciles.,2,2024-10-16,imprescindible,454
